city,2018,2019,2020
Yilan_County,0.016269020981018,0.017429289837905,0.018568177855467
Hualien_County,0.014894745828861,0.016230034299166,0.018679170828555
Kinmen_County,0.005062000531331,0.006363020294611,0.006066985782058
Nantou_County,0.013148073259012,0.014330759018198,0.01547168888744
Pingtung_County,0.017110367503992,0.019950340826969,0.019724164408644
Miaoli_County,0.010714877847478,0.012134734233004,0.011625721078531
Taoyuan_City,0.013474887341549,0.019021919159178,0.021179412792714
Kaohsiung_City,0.015505133704917,0.015386568142628,0.014404909448244
Keelung_City,0.008923288892491,0.011160417790525,0.011039863756438
Lienchiang_County,0.001378676470588,0.003590801436321,0.002409820016568
Yunlin_County,0.013627842838859,0.014646869394956,0.015094412097986
New_Taipei_City,0.008366458385316,0.009010385458368,0.010085949876878
Hsinchu_City,0.017045339796021,0.02044326798172,0.021231159118499
Hsinchu_County,0.017292328683507,0.017867370769223,0.01865884104945
Chiayi_City,0.010687881111748,0.011061302252606,0.010969718614312
Chiayi_County,0.013234911293949,0.01402865757792,0.014897463567183
Changhua_County,0.011670621306221,0.015777787904167,0.016977586901087
Taichung_City,0.014957056151196,0.015206760580991,0.014360176787542
Taipei_City,0.007763702834325,0.008597598298098,0.009452363148426
Taitung_County,0.01428382187019,0.017473856103625,0.018233679115121
Tainan_City,0.020398326601484,0.020819222225885,0.019604601163678
Penghu_County,0.008176943699732,0.008117330595873,0.00884362730293
