type,Nantou_County ,Chiayi_City ,Chiayi_County ,Keelung_City,Yilan_County,Pingtung_County,Changhua_County,New_Taipei_City,Hsinchu_City,Hsinchu_County,Taoyuan_City,Penghu_County,Taichung_City,Taipei_City,Tainan_City,Taitung_County,Hualien_County,Miaoli_County,Lienchiang_County,Kinmen_County,Yunlin_County,Kaohsiung_City
human,0.104372763043817,0.090712123625936,0.221153846153846,0.086733362331449,0.122269666611923,0.103711155823832,0.115331642832319,0.085918854415275,0.081189459431309,0.080415649147432,0.102404505506099,0.164113040517535,0.082596140624284,0.084022196395541,0.098271821909783,0.142002701138337,0.103635996364004,0.089045449729844,0.089063669862149,0.113830392714855,0.114697273147435,0.13235231933697
bike,0.032745703932597,0.041548510434921,0,0.018460200086994,0.051978978485794,0.041001564945227,0.025627823758833,0.042694245558207,0.031202679208095,0.020657132421923,0.023266005015135,0.012768130745659,0.020794181907076,0.046970912245666,0.028827377465339,0.005325101292688,0.045035854964145,0.020545457297232,0.030799947149757,0.022007209258205,0.040209520875058,0.029895555837456
scooter,0.505702154147122,0.498677712282938,0.552884615384615,0.604506307090039,0.463321837192752,0.495103957075788,0.532424152711452,0.550570140546274,0.593652103546906,0.559676160329998,0.593262840124323,0.568607422540007,0.532398282684756,0.539269286801656,0.506541691075962,0.536368898321435,0.56001413998586,0.553100358694172,0.621661993334997,0.539176626826029,0.495917424125713,0.491268129730644
car,0.278060600671365,0.283272263820296,0.129807692307692,0.257207481513702,0.28784146274703,0.265951263134362,0.273764625622675,0.281516839034739,0.239338049722385,0.27706481806398,0.219253897279005,0.192883895131086,0.312844723533636,0.260218362770293,0.302504393673111,0.258691877291144,0.22018987981012,0.275006432279448,0.208831862824258,0.256118383608423,0.285799568633493,0.269440568311556
bus,0.004045972923104,0.002485263660985,0.014423076923077,0.003166594171379,0.002518202222587,0.00355466130114,0.013039168994324,0.001803235216123,0.002183266166185,0.004876930899403,0.008833291405293,0.003404834865509,0.002597362912713,0.002177080093631,0.002733841046671,0.010611614894849,0.002555297444703,0.004048552358755,0.002936124609128,0.006260671599317,0.003177476505931,0.003213666539811
S_truck,0.06262365782629,0.066417078222081,0.067307692307692,0.022914310569813,0.060710570974982,0.072792309412028,0.034799006294327,0.030389817024662,0.042659819089358,0.048568789074529,0.04336306166668,0.053115423901941,0.036790881728316,0.052356320898332,0.046231204842804,0.038278989002508,0.055600444399556,0.045831882917379,0.036198746274792,0.054448871181939,0.047045909721152,0.061736225633219
B_truck,0.009981548585021,0.012649354787319,0.014423076923077,0.005619834710744,0.009443258334702,0.015492957746479,0.003867986458829,0.00461416070008,0.008308429410398,0.007909794681925,0.008244946318583,0.00374531835206,0.010389451650853,0.01284149874777,0.012521968365554,0.008103415010612,0.010695889304111,0.010810013167254,0.009446980929871,0.006070954278126,0.011130796487444,0.009429574189183
other_vehicle,0.002467598870684,0.004237693165525,0,0.001391909525881,0.001916023430229,0.002392130561145,0.001145593327241,0.002492707504641,0.001466193425364,0.000830725380809,0.001371452684882,0.001361933946204,0.001588974958366,0.00214434204711,0.002367701620777,0.000617403048428,0.002272497727502,0.001611853555915,0.001060675015048,0.002086890533106,0.002022030503774,0.002663960421159
